ALL COLLEGE,,,,,,,,,,,
(As on Date:  18-7-2026  3:3:40),,,,,,,,,,,
Aishe Code,Name,State,District,Website,Year Of Establishment,Location,College Type,Manegement,University Aishe Code,University Name,University Type
C-59634,"061-PT. SRI JAGANNATH PRASAD MAHAVIDHYALAYA,DABRAI,SAMSHABAD,AGRA",Uttar Pradesh,Agra,WWW.JPCOLLEGE.IN.COM,2016,Rural,Affiliated College,Private Un-Aided,U-0509,"Dr. B. R. Ambedkar University, Agra",State Public University
C-8888,"100001-KCES'S MOOLJEE JAITHA COLLEGE, JALGAON.",Maharashtra,Jalgaon,www.mjcollege.kces.in,1945,Urban,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8913,"100002-J.D.M.V.P. SAMAJ'S SHRI S. S. PATIL ARTS, SHRI BHAUSAHEB T.T. SALUNKHE COMMERCE AND SHRI G. R. PANDIT  SCIENCE COLLEGE, JALGAON TAL. JALGAON DIST. JALGAON",Maharashtra,Jalgaon,http://www.jdmvpascjal.ac.in,1972,Urban,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8979,"100003-EU'S DR. ANNASAHEB G.D.BENDALE MAHILA MAHAVIDYALAYA, JALGAON.",Maharashtra,Jalgaon,www.agdbmmjal.ac.in,1984,Urban,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8922,"100004-Khandesh College Education Society'S College of Education And Physical Education, JALGAON.",Maharashtra,Jalgaon,www.coe.kces.in,1965,Urban,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-9030,"100005-KCES'S S.S.MANIYAR LAW COLLEGE, JALGAON.",Maharashtra,Jalgaon,https://ssmlc.kces.in,1970,Urban,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-9025,"100006-KRIDA RASIK EDUCATION SOCIETY INSTITUTE OF MANAGEMENT & RESEARCH JALGAON SANCHALIT ADV.SITARAM (BABANBHAU) ANANDRAMJI BAHETI ARTS,COMMERCE&SCIENCE COLLEGE, JALGAON",Maharashtra,Jalgaon,www.sabaheticollege.org,1983,Urban,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8977,"100007-SSBT'S COLLEGE OF ENGINEERING & TECHNOLOGY, BAMBHORI.",Maharashtra,Jalgaon,www.sscoetjalgaon.ac.in,1983,Rural,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8876,"100008-SES'S COLLEGE OF PHYSICAL EDUCATION, JALGAON.",Maharashtra,Jalgaon,www.bped.jal.org,1990,Urban,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8940,"100009- IQRA EDUCATION SOCIETY'S H.J.THIM COLLEGE OF ARTS AND SCIENCE MEHRUN, JALGAON.",Maharashtra,Jalgaon,www.iqrahjtc.in,1991,Urban,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-9027,"100010-KCES'S INSTITUTE OF MANAGEMENT & RESEARCH, JALGAON.",Maharashtra,Jalgaon,www.imr.ac.in,1986,Urban,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8833,"100043-IES'S IQRA COLLEGE OF EDUCATION, MEHRUN.",Maharashtra,Jalgaon,www.iqrabed.co.in,1992,Rural,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8946,"100054-GOVERNMENT COLLEGE OF ENGINEERING, JALGAON.",Maharashtra,Jalgaon,www.gcoej.ac.in,1996,Urban,Affiliated College,State Government,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8918,"100055-DHANAJI NANA CHAUDHARI VIDYA PRABODHINI SANCHALIT LOKSEVAK MADHUKARRAO CHAUDHARI COLLEGE OF SOCIAL WORK, JALGAON.",Maharashtra,Jalgaon,www.lmccsw.edu.in,1996,Urban,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8862,"100062-KHASHABA APANG KRIDA PRASHIKSHAN SANSHTA'S COMMERCE AND SCIENCE COLLEGE, JALGAON DIST JALGAON",Maharashtra,Jalgaon,www.vpjal.org,1999,Urban,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8836,"100063-GF'S GODAVARI COLLEGE OF ENGINEERING, JALGAON",Maharashtra,Jalgaon,www.gfgcoe.ac.in,1999,Urban,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8907,"100066-Dhanaji Nana Chaudhari Vidya Prabodhini Sanchalit Shirish Madhukarrao Chaudhari College, Jalgaon",Maharashtra,Jalgaon,www.dncvp.org,2000,Urban,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8905,100081-GODAVARI FOUNDATION'S GODAVARI INSTITUTE OF MANAGEMENT & RESEARCH JALGAON,Maharashtra,Jalgaon,www.gimrjal.ac.in,2001,Urban,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-9023,"100089-GFS'S GODAVARI COLLEGE OF MUSIC & FINE ARTS,JALGAON",Maharashtra,Jalgaon,gfgcomafa.in,2002,Urban,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8899,"100090-GODAVARI FOUNDATIONS'S DR.ULHAS PATIL LAW COLLEGE, JALGAON TAL. JALGAON DIST.JALGAON",Maharashtra,Jalgaon,www.duplawcollege.ac.in,2003,Urban,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8852,"100098-SHELLINO EDUCATION SOCIETY'S ARUNAMAI COLLEGE OF PHARMACY,MAMURABAD,JALGAON",Maharashtra,Jalgaon,www.acopmamurabad.com,2005,Rural,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8998,"100103-SES'S COLLEGE OF EDUCATION, JALGAON.",Maharashtra,Jalgaon,www.sesbed.org,2007,Urban,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8864,"100105-JAI DURGA BHAVANI KRIDA MANDAL'S OM SAI COLLEGE OF EDUCATION, SHIRSOLI",Maharashtra,Jalgaon,www.omsaibed.org,2008,Rural,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-9013,"100110-SMBKMP'S SHRI.CHHATRAPATI RAJE SAMBHAJI COLLEGE OF EDUCATION, JALGAON",Maharashtra,Jalgaon,www.scrsbed.org.in,2008,Rural,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8877,"100113-KHANDESH COLLEGE EDUCATION SOCIETY'S POST GRADUATE COLLEGE OF SCIENCE, ARTS & COMMERCE, JALGAON.",Maharashtra,Jalgaon,pgcollege.kces.in,2010,Urban,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8915,"110012-TES'S BHUSAWAL ARTS,SCIENCE & P.O.NAHATA COMMERCE COLLEGE, BHUSAWAL.",Maharashtra,Jalgaon,www.basponccollege.org,1963,Urban,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-9032,"110013-SHRI SARASWATI VIDYA PRASARAK MANDAL'S SMT.P.K.KOTECHA MAHILA MAHAVIDYALAYA, BHUSAWAL. DIST JALGAON",Maharashtra,Jalgaon,www.pkkotecha.org,1984,Urban,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8834,"110015-JDMVP CO-OP S'S ARTS,COMMERCE & SCIENCE COLLEGE, VARANGAON.",Maharashtra,Jalgaon,www.ascvarangaon.ac.in,1986,Rural,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8994,"110050-THE BHUSAWAL PEOPLES CHARITABLE SANSTHA'S DADASAHEB DEVIDAS NAMDEO BHOLE COLLEGE, BHUSAWAL TAL. BHUSAWAL DIST. JALGAON",Maharashtra,Jalgaon,www.ddnbc.org,1994,Urban,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8830,"110059-HINDI SEVA MANDAL'S SHRI.SANT GADGE BABA COLLEGE OF ENGINEERING & TECHNOLOGY, BHUSAWAL",Maharashtra,Jalgaon,www.ssgbcoet.com,1998,Rural,Affiliated College,Private Un-Aided,U-0299,"Dr. Babasaheb Ambedkar Technological University, Lonere",State Public University
C-8850,"110088-K.NARKHEDE COLLEGE BHUSAWAL, Dist JALGAON",Maharashtra,Jalgaon,www.knarkhedecs.org,2001,Urban,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8936,"110102-KYDSCT'S COLLEGE OF PHARMACY, SAKEGAON-BHUSAWAL",Maharashtra,Jalgaon,www.bpharmacysakegaon.org,2007,Rural,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8920,"110109-LATE DAGADABAI CHAMPALALJI BIYANI SHAIKSHANIK VIKAS, BHUSAWAL, SANCHALIT BIYANI B.ED COLLEGE AT. MIRGAVHAN, NEAR GOVT. ITI, JAMNER ROAD, BHUSAWAL, JALGAON 425201",Maharashtra,Jalgaon,www.biyanieducationgroup.com,2008,Urban,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-76726,1161-MATOSHRI EDUCATION SOCIETY'S SATYAJEET COLLEGE OF PHARMACY MEHAKAR DIST.BULDHANA,Maharashtra,Buldhana,www.satyajeetpharma.org.in,-,Rural,Affiliated College,Private Un-Aided,U-0299,"Dr. Babasaheb Ambedkar Technological University, Lonere",State Public University
C-8807,"120017-KES'S PRATAP COLLEGE, AMALNER.",Maharashtra,Jalgaon,www.pca.ac.in,1945,Rural,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8989,"120018-NPS'S COLLEGE OF EDUCATION, AMALNER.",Maharashtra,Jalgaon,www.nbpbed.co.in,1990,Urban,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8951,"120064-SHRAM SAFALYA EDUCATION SOCIETYS, PANDIT JAWAHARLAL NEHRU COLLEGE OF SOCIAL WORK, AMALNER",Maharashtra,Jalgaon,www.pjncoswa.org,2000,Urban,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8985,"120068-DHANDAIMATA EDUCATION SOCIETY SANCHALIT DHANDAI ARTS AND SCIENCE COLLEGE, AMALNER TAL. AMALNER, DIST. JALGAON",Maharashtra,Jalgaon,www.dmescollege.org.co.in,2000,Rural,Affiliated College,Local Body,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8917,"120072-GRAM VIKAS SHIKSHAN MANDAL MARWAD SANCHALIT, LATE. NHANABHAU MANSARAM TUKARAM PATIL ARTS COLLEGE, MARWAD,TAL-AMALNER,DIST-JALGAON.",Maharashtra,Jalgaon,https://www.marwadcollege.in/,2001,Rural,Affiliated College,Local Body,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8848,"130020-CES'S BP.ARTS,SMA.SCIENCE & KKC.COMMERCE COLLEGE, CHALISGAON.",Maharashtra,Jalgaon,www.cescollege.ac.in,1961,Rural,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-9007,"130021-RSSPM'S NANASAHEB YASHAVANTRAO N.CHAVAN ARTS,SCIENCE&COMMERCE COLLEGE,CHALISGAON",Maharashtra,Jalgaon,www.rashtriyacollege.org,1984,Urban,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8819,"130082-SSMACT'S SMT. SITABAI MANGILAL AGRAWAL INSTITUTE OF MANAGEMENT, CHALISGAON",Maharashtra,Jalgaon,www.myaimcollege.in,2001,Urban,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8961,"130083-MAHATMA PHULE SAMAJIK AND SHAIKSHANIK VIKAS MANDALACHE MAHATMA PHULE ARTS AND SCIENCE COLLEGE, CHALISGAON TAL.CHALISGAON DIST. JALGAON",Maharashtra,Jalgaon,www.mpartsciencecollege.org,2001,Urban,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8832,"130091-MAHATMA FULE SAMAJIK V SHAIKSHANIK VIKAS MANDAL SANCHALIT MAHATMA PHULE COLLEGE OF EDUCATION, CHALISGAON",Maharashtra,Jalgaon,www.mpbedcsn.org,2004,Urban,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8814,"130106-KDMG'S NANASAHEB DR.UTTAMRAO MAHAJAN COLLEGE OF EDUCATION,KARGAON,TAL-CHALISGAON",Maharashtra,Jalgaon,www.ndumbedcollege.co.in,2008,Rural,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8982,"140024-CES'S COLLEGE OF EDUCATION, CHOPDA.",Maharashtra,Jalgaon,www.bed.ceschopda.org,1990,Urban,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-9004,"140046-MGSM'S SMT.SHARADCHANDRIKA SURESH PATIL COLLEGE OF PHARMACY, CHOPDA",Maharashtra,Jalgaon,https://ssppharmacychopda.in/,1992,Rural,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8878,"140065-PS&SSS PANKAJ ARTS COLLEGE, CHOPDA",Maharashtra,Jalgaon,www.pankajcollege.co.in,2000,Urban,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8927,"150026-JDMVP CO-OP S'S ARTS,COMMERCE & SCIENCE COLLEGE, YAWAL.",Maharashtra,Jalgaon,acsccollegeyawal.org.in,1983,Rural,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-9012,"150027-TMES'S J.T.MAHAJAN COLLEGE OF ENGINEERING, FAIZPUR.",Maharashtra,Jalgaon,www.jtmcoef.ac.in,1984,Rural,Affiliated College,Private Un-Aided,U-0299,"Dr. Babasaheb Ambedkar Technological University, Lonere",State Public University
C-8881,"150028 - TAPI VALLEY EDUCATION SOCIETY'S DHANAJI NANA MAHAVIDYALAYA, FAIZPUR.",Maharashtra,Jalgaon,www.dnmfaizpur.org,1961,Rural,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8851,"150051-TVES'S HON'BLE LOKSEVAK MADHUKARRAO CHAUDHARI COLLEGE OF PHARMACY, FAIZPUR.",Maharashtra,Jalgaon,https://copfaizpur.co.in/,1994,Rural,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8820,"150056-SES'S ARTS & SCIENCE COLLEGE, BHALOD, TAL. YAWAL",Maharashtra,Jalgaon,www.ascbhalod.ac.in,1996,Rural,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8981,"160030-YASHWANTRAO CHAVAN SHIKSHAN PRASARAK MANDAL'S DADASAHEB DIGAMBAR SHANKAR PATIL ARTS, COMMERCE AND SCIENCE COLLEGE, ERANDOL",Maharashtra,Jalgaon,ddsp.ac.in,1971,Urban,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8885,"160031-P.R.HIGH SCHOOL SOCIETY'S ARTS, COMMERCE AND SCIENCE COLLEGE, DHARANGAON, TAL : DHARANGAON",Maharashtra,Jalgaon,www.acscollegedharangaon.org,1971,Rural,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8983,"170032-JAMNER TALUKA EDUCATION SOCIETY'S GITABAI DATTATRAY MAHAJAN ARTS, SHRI KESHRIMAL RAJMAL NAVLAKHA COMMERCE AND MANOHARSHETH DHARIWAL SCIENCE COLLEGE, JAMNER TAL-JAMNER DIST-JALGAON",Maharashtra,Jalgaon,https://acscollegejamner.org.in/,1971,Rural,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
